title,company,location,url,date
"Product Team Manager
Product Team Manager",Mylo AI,"Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4403733747/?eBP=CwEAAAGdw8YknPChr3iWGlaW26gifqPlqQ6YGYKDCevCDO_QHfD3zuJaSZ-rLLk_YjLXFcCxCnUiqK1u5THs5VbKhU4Rwsd5XRig_iUDXpNXhrCDR_w7ds_1a-w4xtUeXq9Cejqz2XuILnRi2rQFJiS4IQIptQnJNhfdPF8EI_qHmeupbsGVFFElEGfMJsHcQLwPNa33D8qfF_N9Jaj2sOmiAy7IWHRPlnkXEnPoGYRtdUPppSxmywjqFqnXEoi4j7IbGjudU1ZdJlj95M1jrRvs4X7TmkVt_46d3UkKtR1pZVjbHsKl2pIgjt9x3PdxWp0lCd7yVdrhPeoNus_uzheaJFmJ5P3FsXdy3GY4-sfc3qhGY-DeMoHUPC2268podcuTZ8fV3ahHmftoZQWnzmqcrqFpb3wRKJFjSXWuNMG4NuGDRGrZkaEUTE0V4ewj-P15WYk9dXSHDI_WQN2W8Jy7DMkAQwI1EHm3QG-xX31MI8B2z9FZhBLXAO0C&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=kVj9PRW05yi4jgordbgn9A%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Research & Writing Associate (LLM) (Remote)
Research & Writing Associate (LLM) (Remote)",Quik Hire Staffing,Israel (Remote),https://www.linkedin.com/jobs/view/4406816703/?eBP=CwEAAAGdw8YknNWdVVyf4Shq7b37Szaa61eCU764CBquZMABEjFRcFi8zq2SCGbrweXzQj3UBI-ZjRAVhey_0X0BNKxcsik04To_cJJRPUQml1GrzZEiXvmcWAQR376bQZUvAYcLO2wORjo1HiEJGzu4BP1zGeyIBppxWnHoMrGnDv265LFaGYqovUPjaLWnv7zA_FrYNNlmJzd5lxN3Syl6Q7o1ZNd2DbpIG-BYkh_wBRbAQUsJYRJMMy5A36GMMiITDzv7SZFMIjSFEptj6xnv_8KZTfUTSQ__fgU8VcvNYo0RNTB4kIBd2bI_kMSOZVrxvRwbiqMX67cnPDPVZRMqk88djHVU3Ks0iDzu7J6x4jTZEXysTU6yM1tQduZhyP3OviUvxnlG5i-crXussPhFD5h35Z9gTxW9VAp4vRgl_yLsglqXfL0fFdXaDEISgpO8JVsHnAvXG94Y7-9C-5Sf3DVIx7IB5gV0ABO8&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=Lufo0vwxYezWtcG5lKWpKA%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Business Document Expert | Remote
Business Document Expert | Remote",Crossing Hurdles,EMEA (Remote),https://www.linkedin.com/jobs/view/4393840069/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=abpRbq6g9GhH6Lz16xf%2FjA%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Data Scientist (Remote)
Data Scientist (Remote)",Jobs Ai,EMEA (Remote),https://www.linkedin.com/jobs/view/4406841389/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=gZ1iTh94x5t0BIyYw5o5Ww%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"VIP Monetization Manager
VIP Monetization Manager with verification",SciPlay,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4385135519/?eBP=CwEAAAGdw8YknKZVESL-TeHyWtt0JsV4hIpPgeuIaxnkJ3gCd1h9Oi7n8cGDbzQYoi6VU42OI6hLiztleQCHKhrKBCfG63lCyNsKveq9-sKSWXsSLynoA04N1zgHbSjqDY1mYFEuPk6z6ux8R36nt05NsgiWYdUo4D_HaEGbjb1NTZ6qKziFh7x-Nnuo0F3Qw5uOPGB7Rnks9HjXXulvBm5kW7chwV9heckotRCY8jrxYT6SFDgOB3RvyfgIVDFSDXjyjO1tYqmsBg7YegL_BF89KW64eBtiMeJPaV-9zA8SzU3NDZLy-G9dCn71QV8pF35PMkUbAIZzlla4zuAEO3EkfXJwQV_8jRHAQysKTAiDW11DpvyrKidvWBow3vIYgsJfseDI7QqD3Zg0McSTdlmNPvKz3RNYjGWJwbEN860Emu2DPG5zwYYqUgSa0jKvZREVGzqSqIGKQA22LmkP8wL4g33GfOgiXYhyiR1YlEWk1g&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=NIhOyMZPK6fqXHy01R5i2Q%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Retail Consultant
Retail Consultant with verification",NielsenIQ,"Petah Tikva, Center District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4405351086/?eBP=CwEAAAGdw8YknJx52xBcYGUgrMcWcv2hxZqTmFajvggk5bOm9Qu19vgfg4ryHdTGK1i0xk5iH0zxgNt5uzmT0KKiRbU-9ZxqKohDCPrne-8UPNxKldpgAOl-IshuvXVWDw_2ceMpY_oJtZiaj8a9rWIACqgBnNyzJsnLpwO9D3hZd7HW3upsKJQABVyqv08TpjNcH6lbAQNdTJF4MkpeU-u0Kc4MsQ0UR_sfEgUw9zERJWCFpPAfI82bnT856JbogwhpjfhnKP3qleW027CKAF4nt3HLHM_qCzJ4SdTtvy-GEIHmU-pmoPDK0tQlNCBQKW5nLV9_BpghNC5_gLPQMKRDRe4SRBypCTPh1h6_TNQdOEbc5u7Z9eef9gockU3qEb1ReCih5afDN3G2MKIEVxm_g1J0bVWB3_64TD4psbDFirOeV42wMOPas1e_jBmh0jcAxiPLXzHVIHi_K7cqbutnf22kIZ-zia_4UkDk&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=4ET4NaNw5eBO9iI4odv8Kw%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Product Analyst
Product Analyst",Port.io,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4383545328/?eBP=CwEAAAGdw8YknGNlPH719V1J_XYX0shxL83qEqB78ljAzqRKZSHvdM2ZQQuOwax7BmXJQXyJU-imzqamNoWTgMWboIGNcZrn9qxSA-tYNMvhdZSTAQuTgfNa-khPdNKy7WV-7Vb7YnrtaCWSBPpPOmMbQvq8yterORS-B3a21R1CZ_mxUZVCq0uauLgOXJfGW2nWu5nzQkcdCAlKfzDnPPW--z50ndehtpIGFQ26XigX7ySyAjucuiSvl2skOBPMH4eVpYMCnVvKgSB0tSAj8_nTj1lFLJU3HWQlCNDQWzEnOSgli6ACXElv4q2xzIiDCuvvrtMY-q8OddPMu0hwpOiY8je7FnutOGQa0Ng7dacOAp6IzpbOu_oKSv7SN0hujHnvOVcLXg2sGOyF-eN8t5MhnOrgV22w5MIiB_6FgxFwbOwz6jh3OdW9x5DyIQiDg0Nns1Dsp6OU5YSVk4ABg5sv8nxFRDbsSU2TfEN_J4x_4w&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=H2FyYVQZ8YBYFcYPdh%2Fxnw%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Fraud Analyst
Fraud Analyst with verification",Forter,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4384569905/?eBP=CwEAAAGdw8YknAbCuv0VZypfeOKapmc35C4PERCnuaidWRi06w59YUjmPNd5CbKurmNtG1kLA3loI11Dd2qXaJrMkuX4f_rQGVpey4s6UslZGb_QudzttKcQKSFfdK-Rjc9xV6kFOtIBzBiXCHx9rdvW4KpKwhQw7QrAmT4mrgpWja1pLfJ4t2Rl6E50WHkOvo9xXus4u6xAvr9IRnIWMT_GKtXl4--nByZ4fkhRoM9tHn7nvRJe7_TlQw7xLaWP3u47MqUQ--iNmAICBK4gsr8fZwD6Ah3tELHhEh1beDKqGOpvC0FebUA-Vcc4Dd6JLWcRiA3QnevrjKYUYiyRKusBHoXrZ8MR2wt9ZneADapwcR-obkJtzufFiLe-3xKScIvrazXNLv9vAtrtvn0G4lUqWkPUceE_CkzZBXXczcxd-9W8wj0VE1UVaee9dl6xcVGV4QwuItlx2rARGCOCPKFxbJM1Cfl6rDxzhcItPj8myw&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=RH7D%2FZvX0kYJUWnMjZTtoQ%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"מנהל/ת פרויקט הסבות 767
מנהל/ת פרויקט הסבות 767 with verification",IAI - Israel Aerospace Industries,"Lod, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4366483521/?eBP=CwEAAAGdw8YknOqx4KA9NID6btDOzbaJiruYoisrn3oIpD0UMfNBiFUOG4_1c0yfeccVRXNjLXBtfQz3HI1SqZ2VAGa9L4wlbk_XNHLjkVUpIHOAOgteDa1dY_6Kqo1wmfFX9tIa50LIbGQ8au-XUXOpHmqV7AQviZdqBOIxyLxmGVc0c-SIPNsYmhkP3eREofriEfd7uLMPPIxUUDOj3H1wPB9cqVHr53Wpe7aZDcHhuyfuc1sEMD9ie-EZ0IGykxTbCfD_BLNUPHWBUj3RmLWj3yvFVGJi3B_JQoYz5rEDzX8B4JLiaUE4oZKvBBLC5-cbg5sJtvaZ0roJwb2Ei7wgkJfYsV-q2I1aNWlmHxAp5Kw1-lOVSgc2-k0aZG9OXnHWnOVe8Q8i45u7r5tWdduT0sGEPvKEuaGh3qG8swuWdHac_eeXPF9bSOv5Jj53_Ec8ELQzTF0oDqx_Jvi_xO8jeKiiSo6aTgisbV2yaNS5iw&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=eIeUNmft8lngAv6PdNARDg%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
"Development, systems analysis, UI/UX design, and project management in the digital domain (24754)
Development, systems analysis, UI/UX design, and project management in the digital domain (24754) with verification",Yael Group,"Rishon LeZion, Center District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4400187358/?eBP=CwEAAAGdw8YknECU0HE3bQnOvcVd8CfLI-_sSq0CpozLpM9gehRAATDV2L839_1oS_o_CDzbO8omQfumImLH39XzIA9AwHUHBi7TfCZFzlG_ocSyihdwRKAwSf6oXKw0ZPsRoZ0FKSQKJBgfq-EjU71gakqEc6IcBtEC-bmUCw0mQOBrf3OIi0iw3Y7JgHYvqHUA-R2eEMOF-Jjmd9j4y-HjN6DdDz1HLWMQ01_XszcMeI6oJa7wYkRyHN912RWfpflhf_-b5ZNPjS4Ao2C3TROCoy6l-ntAGzVhx2x6NnWNf-LIAJbVF0EozbqqsLka5fOfWjTij3_gNC3gHWSXuMXTeKtkZzE8KOlneFbKybbe9f2o1TZ3GCOAx6Xtd6swZZRu8BVYsj3x63ZusbA9fi9Vyio-lJ4ElOZEXmEU--lkKLbjxFEtung2iB1RtI4oj0rGWMCx79NYCwu_fIYN3QPrMFi8sSO8EGKin3UUXlg&refId=WlEAlvjx9s1Fb84qCHI7CA%3D%3D&trackingId=AGE%2FyBTWEwJHdAdK%2FRu01w%3D%3D&trk=flagship3_search_srp_jobs,04/25/2026
