title,company,location,date,deadline,url,department,workplace_type,staff_type,internal_external,description,requirements
רכז/ת בכיר/ה לסגל אקדמי (JB-1339),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-26,https://www.tau.ac.il/JB-1339/position/2026,המזכירות האקדמית,onsite,administrative,פנימי,"בקרה על הכללים הקשורים להיבטי העסקה ביחס לכשירות האקדמית ולתוכניות הלימודים, ובדיקה וטיפול בעמידתו של הסגל האקדמי בנהלי האוניברסיטה והמועצה להשכלה גבוהה, לרבות זכאויות למענקים שונים, העסקה מעבר למשרה, עומס הוראה ועוד.
טיפול והזנת מינויים של סגל אקדמי בכיר במערכות הארגוניות, מעקב, וריכוז חומרים לישיבות ועדת מינויים אוניברסיטאית.
אחריות לטיפול באישורים מיוחדים הנדרשים על פי תקנוני האוניברסיטה של הסגל האקדמי הבכיר והסגל השותף, מתנדבים, אורחים וגמלאים.
אחריות על טיפול ומתן אישורים לגורמי חוץ בהתאם לנהלים.
הכנת דו""חות והפקת נתונים במערכות ממוחשבות.
מתן שירות והדרכה לרכזי/ות מורים ביחידות האקדמיות בקמפוס, ועבודה מול חברי/ות הסגל האקדמי.
תכתובת בשפות עברית ואנגלית.
ביצוע מטלות נוספות כפי שיוטלו ע""י מנהלת מדור הסגל האקדמי וככל שיידרש.","תואר אקדמי.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי עצמאי.
ניסיון בתחומי המנהל האקדמי - יתרון.
הכרת הנהלים והתקנונים האוניברסיטאיים - יתרון.
יכולת עבודה עם ריבוי נתונים במערכות ממוחשבות.
ידיעת השפה העברית על בוריה ושליטה בשפה האנגלית ברמה טובה מאד, לרבות יכולת תכתובת וניסוח בשפות אלה.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם ריבוי משימות ועומס.
יוזמה, סדר ודיוק, כושר תכנון ויכולת ארגון, יכולת עמידה בלוחות זמנים, יכולת תיאום ומעקב.
יכולת גבוהה של ניסוח בכתב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך."
מרכז/ת מינהלת תלמידים/ות לתואר ראשון (JB-1336),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-26,https://www.tau.ac.il/position/jb-1336/2026,הפקולטה להנדסה,onsite,administrative,פנימי,"אחריות מנהלית כוללת לפעילות מזכירות התלמידים לתואר ראשון בפקולטה להנדסה, כולל:
ניהול צוות מזכירות התלמידים לתואר ראשון לרבות הנחייה ובקרה על פעילותם.
שיפור וייעול תהליכי עבודה, הטמעתם ותיעודם.
ריכוז ועדת הוראה לתואר ראשון.
בקרה ומעקב אחר יישום נהלי האוניברסיטה בנושא תלמידי תואר ראשון וטיפול בפניות חריגות.
אחריות על עדכון הידיעון, בקרה על פרסום סילבוסים, עדכונים בנושאי תקנון, ימים פתוחים וכו'.
עדכון ופרסום תנאי הקבלה לקראת הרישום, בתיאום עם ועדת הקבלה.
הפקת דוחות ומתן מידע ונתונים לראשי יחידות ולהנהלת פקולטה.
טיפול בנושא קורסי השרות (מתמטיקה, פיזיקה, תכנות וכימיה).
קשר עם המזכירות האקדמית, אגף רישום ומנהל תלמידים ועם גורמים נוספים באוניברסיטה ומחוצה לה.
ביצוע מטלות נוספות ככל שיידרש.","תעודת בגרות מלאה לפחות, רצוי תואר אקדמי.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי עצמאי רצוי בתחום מנהל תלמידים. תישקל מועמדותם של בעלי ניסיון בתחומי מנהל אחרים.
ניסיון בעבודה עם מערכות מנהל תלמידים - יתרון.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה מאד לרבות יכולת הבעה ותכתובת  בשפות אלה.
יכולת ניהול והנחייה של צוות עובדים.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE, לרבות EXCEL.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה במערכות האוניברסיטאיות - יתרון.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת עבודה בסביבה מרובת ממשקים והתמודדות עם מצבים מורכבים.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
יוזמה ויכולת להנעת תהליכים.
כושר תיאום, תכנון וארגון, סדר, דייקנות ויכולת מעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך."
מנהל/ת בקרה ותפעול דאטה סנטר (JB-1315),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-26,https://www.tau.ac.il/JB-1315/position/2025,אגף מחשוב וטכנולוגיות מידע,onsite,administrative,חיצוני,"אחריות על גוף האמון על בקרת מערכות המחשוב ואיתור תקלות וצווארי בקבוק של מערך מחשוב משמעותי ומורכב הכולל:
ניהול צוות בקרה (כ-7 עובדים וכ-2 מנהלי משמרות) העובד במשמרות 24/7 בחדר בקרה ייעודי ומודרני.
ניהול תפעול מערך השליטה והבקרה של אגף מחשוב וטכנולוגיות מידע, הן בתחומי התקשוב ומערכות המידע והן בתחומי המערכות האלקטרו-מכאניות של הדאטה סנטר.
הגדרה והטמעה של שיטות עבודה ונהלים לטובת שיפור הניטור ואמינות מערך ה Data Center.
ייעול פעילות הניטור ומתן המענה הנדרש לאירועים השונים.
ניהול צוות העובדים במשמרות.
ניהול רצפת הייצור (ה- Data Center) על כלל מרכיביו.
עבודה משותפת עם יחידות אגף המחשוב לטובת שיפור מתמשך של ניטור המערכות.
ביצוע מטלות נוספות בהתאם להחלטתו של מנהל היחידה, וככל שיידרש.","תואר אקדמי. יתרון לבעלי השכלה ותעודות רלוונטיות בתחום המחשוב, מערכות אלקטרו-מכאניות או תחום טכני דומה.
ניסיון של לפחות 3 שנים בניהול צוות NOC כולל הובלת פרויקטים בתחום.
ניסיון מעשי של 3 שנים לפחות בעבודה עם מערכות שו""ב כגון - Zabbix,AppDynamcs,Solarwinds.
ניסיון בתפעול ובקרה של מערכי אנרגיה של Data Center – קירור, חשמל, גילוי אש וכיבוי, אבטחה פיזית ותפעולית- יתרון.
ניסיון בניהול ספקים ומשא ומתן.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
יכולת בנייה והובלה של תהליכי עבודה. יתרון לנסיון בכתיבה והטמעה של נהלי עבודה.
יכולת למידה עצמאית והתעדכנות מקצועית ויכולת עבודה עם מגוון רחב של צרכים טכנולוגיים.
יכולת עבודה בסביבת מרובת ממשקים והתמודדות עם מצבים מורכבים.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
יוזמה, עצמאות, ראייה מערכתית ויכולת להנעת תהליכים/לריכוז תחום אחריות.
כושר תיאום, תכנון וארגון, סדר, דייקנות ויכולת מעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים עם מגוון גורמים (מנהלים, מקבילים, עובדים, ספקים).
הערה: נדרשת נכונות לעבודה בשעות נוספות ולא שגרתיות בהתאם לצורך והגדרת מנהל היחידה."
אחראי/ת מדיה (JB-1337),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-25,https://www.tau.ac.il/JB-1337/position/2026,אגף קשרי חוץ ופיתוח משאבים,onsite,administrative,פנימי,"תמיכה דיגיטלית בפעילות השיווקית והתדמיתית של האוניברסיטה, כולל :
הפקת צילומי וידאו ועריכה דיגיטלית של מגוון חומרים עבור אירועים, אתרי אינטרנט, מדיה חברתית ומצגות.
הפקת צילומי סטילס דיגיטלי.
סיוע בפיתוח וחיזוק המיתוג החזותי של האוניברסיטה, בדגש על פעילויות לגיוס כספים.
טיפול בבקשות האגף וכלל יחידות הקמפוס לצילום אירועים.
תיאום ופיקוח על עבודתם של צלמים חיצוניים בתחום צילומי וידאו וסטילס.
אחריות על הסטודיו לצילום, לרבות טיפול ואחזקת ציוד המדיה.
ניהול, עדכון והרחבת השימוש בארכיון התמונות הדיגיטלי.
ביצוע מטלות נוספות בהתאם לצורך.","תעודת בגרות מלאה לפחות, רצוי תואר אקדמי.
ניסיון מוכח בהפקת צילומי וידיאו וסטילס, כולל עבודה עם תוכנות לעריכה ולעיבוד תמונות.
הכשרה פורמלית בתחום הצילום, המדיה או תחום רלוונטי דומה - יתרון.
יכולת הפקה ויצירת תכני מולטימדיה במגוון פורמטים.
היכרות עם עולמות התוכן והצרכים החזותיים של המדיה החברתית - יתרון.
ידיעת השפה העברית על בוריה וידיעת אנגלית ברמה גבוהה.
כושר תכנון, תיאום וארגון.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם ריבוי משימות, עומס ועמידה בלוחות זמנים.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות, בהתאם לצורך."
מהנדס/ת חשמל (JB-1180),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-24,https://www.tau.ac.il/position/JB-1180/2025,אגף הנדסה ותחזוקה,onsite,administrative,חיצוני,"ניהול פרויקטים בתחומי החשמל.
הובלת תהליכים בתחומי התייעלות אנרגטית וצריכת חשמל.
ביצוע פרויקטים ותהליכים ברשת המתח הגבוה של האוניברסיטה.
ניהול ופיקוח על קבלני חשמל.
טיפול במערכות המונים של האוניברסיטה.
מעקב וביצוע תחזוקה למערכות בחירום הכוללות גנרטורים ו-UPS.
טיפול וביצוע פרויקטים בתחום חשמל החירום.
פיקוח וניהול תכנית טיפולי מתח גבוה.
ביצוע מטלות נוספות בהתאם לצורך.","מהנדס/ת חשמל.
ניסיון בעבודה עם מערכות משולבות גנרטורים ומערכת סנכרון.
ניסיון בעבודה עם מערכות אל פסק מרכזיות.
ניסיון של שנתיים לפחות בביצוע ובניהול פרויקטים ותהליכים בתחומי חשמל באתר דומה לקמפוס אוניברסיטאי, רצוי במגזר הציבורי.
חשמלאי מתח גבוה - יתרון .
ניסיון בהפעלת קבלנים.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
יכולת בנייה והובלה של תהליכי עבודה.
יכולת עבודה בסביבת מרובת ממשקים והתמודדות עם מצבים מורכבים.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
יוזמה, עצמאות, ראייה מערכתית ויכולת ניהול מו""מ.
יחסי אנוש טובים ותודעת שירות גבוהה.
הערה: נדרשת נוכנות לביצוע כונניות ושעות נוספות בהתאם לצורך."
רכז/ת תלמידים/ות- בית הספר לקולנוע וטלוויזיה- הפקולטה לאמנויות (JB-1335),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-20,https://www.tau.ac.il/JB-1335/2026/position,"ביה""ס לקולנוע ולטלוויזיה/ הפקולטה לאמנויות",onsite,administrative,חיצוני,,
מנהל/ת חשבונות מדור בקרה והתאמות-יחידת החשבות (JB-1328),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-19,https://www.tau.ac.il/position/jb-1328/2026,אגף הכספים כלכלה ותקציבים,onsite,administrative,חיצוני,"ביצוע התאמות בנקים והתאמות כרטיסי אשראי כולל רישום פקודות יומן ידניות לסוגיהן.
ביצוע התאמות של הכנסות מתשלומים שונים.
טיפול שוטף ובירורים מול הבנקים, חברות האשראי ויחידות האוניברסיטה.
קיום ממשקים שוטפים עם גורמים באגף ובקמפוס.
ביצוע מטלות נוספות על פי הנחיית מנהלת המדור וככל שיידרש.","תואר אקדמי-רצוי. תעודת בגרות מלאה-חובה.
סוג 2 לפחות בהנהלת חשבונות או תואר אקדמי בתחומי חשבונאות/כלכלה או בתחום דומה.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי.
ניסיון של מספר שנים בהנהלת חשבונות ממוחשבת. ידע וניסיון בתחום ההתאמות - יתרון.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE, לרבות EXCEL.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה ב-ERP – יתרון.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם עומס וריבוי משימות.
יוזמה, כושר תיאום וארגון, סדר, דייקנות ויכולת מעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך"
"מתאם/ת מחשוב ורכז/ת מולטימדיה ואתרים- ביה""ס לעבודה סוציאלית/הפקולטה למדעי החברה (JB-1260)",אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-19,https://www.tau.ac.il/JB-1260/2025/position,בית הספר לעבודה סוציאלית,onsite,administrative,חיצוני,"אחריות כוללת לתפעול ותחזוקה שוטפת של מערכות המולטימדיה בביה""ס (מקרנים, מערכות שמע, מיקרופונים, מגברים ומיקסרים וכו'), לרבות עבודה עם ציוד מולטימדיה ומערכות שליטה מורכבות ותכנותן.
אחריות לפיתוח, עדכון, הפעלה ותחזוקה של אתר האינטרנט של ביה""ס, לרבות בניית טפסים והטמעתם באתר. איסוף ועיבוד ראשוני של הנתונים שנאספו מהטפסים.
צילום והקלטת אירועי ביה""ס .
בניית דפי WIX לסגל ביה""ס.
סיוע בעריכה ועדכון ידיעון ביה""ס.
סיוע, הדרכה ותמיכה במשתמשים בתפעול ציוד המולטימדיה.
תמיכה בנושאי מחשוב ומולטימדיה בכנסים ושיעורים.
קשר עם מגוון גורמים באוניברסיטה ומחוצה לה.
ביצוע מטלות נוספות ככל שיידרש.","תואר אקדמי/טכנאי/הנדסאי בתחום רלוונטי- רצוי. תעודת בגרות מלאה- חובה.
הכשרה פורמלית בתחום המחשבים.
ידע וניסיון בהפעלה ובתחזוקה של ציוד מחשבים ומולטימדיה.
ידע וניסיון בהקמת אתרי אינטרנט ובניהולם.
יכולת ניהול פרסומים ברשתות חברתיות. הכרת מערכת DROUPAL.
היכרות מעמיקה בנושא  HTML ,CSS- יתרון.
ידע בעריכת תמונות וסרטי וידאו - יתרון.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה מאד.
שליטה מלאה במערכת הפעלה  WINDOWSובתוכנות OFFICE ויישומיהן.
יכולת למידה והתעדכנות מקצועית ויכולת עבודה עם מגוון רחב של צרכים טכנולוגיים.
יכולת עבודה עצמאית והשתלבות בצוות.
יכולת התמודדות עם ריבוי משימות ועומס.
יוזמה, סדר ודיוק, כושר תכנון ויכולת ארגון, תיאום ומעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות עפ""י הצורך."
אחראי/ת טכני/ת מעבדות הוראה לביו-אלקטרוניקה (JB-1254),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-19,https://www.tau.ac.il/position/JB-1254/2025,הפקולטה להנדסה,onsite,administrative,חיצוני,"אחריות כוללת על תפעול ותחזוקת המעבדות, כולל הפעלת מכשירי מדידה אלקטרוניים לניטור וניתוח ממוחשב של מדדים פיזיולוגיים.
תמיכה שוטפת במכשור ובתוכנות ההפעלה במעבדות ההוראה, כולל טיפול בתקלות בזמן אמת, בדיקה והגדרה של ציוד נדרש, ורכש של ציוד חדש ומתכלה.
פיתוח והטמעת מערכי ניסוי חדשים, תכנון מערכים קיימים ושדרוגם לפי הצורך, כולל אפיון דרישות חומרה ותוכנה.
הדרכת סטודנטים בביצוע ניסויים והכשרתם לעבודה עם ציוד המעבדה, סיוע בפעילויות Hands-On במסגרת הקורסים.
הגדרת נהלי בטיחות והטמעתם בקרב מדריכים וסטודנטים.
ליווי,מעקב ותמיכה בפרויקטים בשיתוף התעשייה, חוקרים באוניברסיטה ובתי חולים.
ביצוע מטלות נוספות עפ""י הצורך.","תואר ראשון בהנדסה או במדעים מדויקים.
ניסיון בתפעול מעבדות הוראה ו/או בהדרכת פרויקטים - יתרון.
היכרות מעמיקה עם ציוד מדידה אלקטרוני, ובפרט חיישנים למדדים פיזיולוגיים.
ניסיון בעבודה עם לוחות פיתוח ובקרים (Arduino, ESP32, Raspberry Pi Pico) כולל תוכנה.
שליטה בסביבת פיתוח LabView ובממשקי תוכנה נוספים לחיבור חומרה.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה גבוהה.
יכולת עבודה עצמאית והשתלבות בצוות.
יכולת הדרכה.
חשיבה יצירתית, יוזמה, יכולת ארגון, סדר ודיוק.
יכולת התמודדות עם ריבוי משימות ועומס.
תודעת שירות גבוהה ויחסי אנוש מעולים
הערה: נדרשת נכונות לעבודה בשעות נוספות עפ""י הצורך."
רכז/ת תלמידים וקבלה לתואר שני (JB-1338),אוניברסיטת תל אביב,תל אביב,2026-05-16,2026-05-19,https://www.tau.ac.il/JB-1338/position/2026,הפקולטה לניהול,onsite,administrative,פנימי,"אחריות כוללת לטיפול במועמדים ותלמידי התואר השני, כולל:
מתן מענה לפניות מועמדים, תלמידים ולסגל המורים, לרבות קבלת קהל, מענה ללידים ומתן ייעוץ והכוונה למועמדים.
מעקב אחר ההתקדמות האקדמית של התלמידים.
ארגון הבידינג, רישום לקורסים, טיפול במערכת השעות וייעוץ לתלמידים.
בדיקת פטורים, דיווח והזנת ציונים.
הפקת דוחות וניתוחם.
אחריות על לוח הבחינות.
הזנת נתונים במערכת מינהל התלמידים, מעקב אחר מילוי חובות אקדמיים, ריכוז החומר והעברתו לוועדת הוראה ויישום החלטות ועדת הוראה.
טיפול בסגירת תארים וארגון טקסי מסיימים.
ביצוע מטלות נוספות ככל שיידרש.","תעודת בגרות מלאה-חובה. תואר אקדמי-רצוי.
תישקל מועמדותם של עובדים ותיקים שאינם עומדים בדרישת ההשכלה ועברו השתלמויות מקצועיות רלוונטיות לתפקיד.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי. רצוי בתחום מינהל תלמידים.
ניסיון בעבודה עם מערכות מינהל תלמידים ו- מערכת ה- CRM - יתרון.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE ובאינטרנט.
ידיעת השפה העברית על בוריה, כולל יכולת ניסוח בכתב ובעל פה וידיעה טובה של השפה האנגלית.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה ב-ERP – יתרון.
יכולת עבודה עצמאית והשתלבות בצוות.
יכולת התמודדות עם עומס וריבוי משימות.
יוזמה, כושר תיאום ויכולת ארגון ומעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: העבודה לעיתים מתבצעת בשעות הבוקר המאוחרות עד אחה""צ ובימי שישי, עפ""י הצורך.
נדרשת גם נכונות לשעות נוספות בהתאם לצורך."
