title,company,location,date,url,department,workplace_type
Account Executive Public & Defense Sector,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4603280006/:title?gh_jid=4603280006,,
AI Research Scientist,Wiz,Tel Aviv,2026-04-06,https://www.wiz.io/careers/job/4663539006/:title?gh_jid=4663539006,,
Application Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4613920006/:title?gh_jid=4613920006,,
Application Security Product Analyst,Wiz,Tel Aviv,2026-03-22,https://www.wiz.io/careers/job/4645081006/:title?gh_jid=4645081006,,
Backend Engineer,Wiz,Tel Aviv,2026-04-14,https://www.wiz.io/careers/job/4615162006/:title?gh_jid=4615162006,,
BI Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4661655006/:title?gh_jid=4661655006,,
Cloud Security Analyst ,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4615170006/:title?gh_jid=4615170006,,
Data Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4625756006/:title?gh_jid=4625756006,,
Data Scientist Expert,Wiz,Tel Aviv,2026-04-19,https://www.wiz.io/careers/job/4621534006/:title?gh_jid=4621534006,,
Detection Software Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4650548006/:title?gh_jid=4650548006,,
DevOps Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4615172006/:title?gh_jid=4615172006,,
Expert Backend Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4615211006/:title?gh_jid=4615211006,,
Frontend Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4615218006/:title?gh_jid=4615218006,,
Incident Responder,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4612525006/:title?gh_jid=4612525006,,
IT Engineer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4611995006/:title?gh_jid=4611995006,,
IT Technician,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4644734006/:title?gh_jid=4644734006,,
Managed Cloud Detection and Response Analyst,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4609911006/:title?gh_jid=4609911006,,
Product Designer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4599708006/:title?gh_jid=4599708006,,
"Product Technical Architect, CTO Office",Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4615226006/:title?gh_jid=4615226006,,
Revenue Controller,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4650047006/:title?gh_jid=4650047006,,
Salesforce Developer,Wiz,Tel Aviv,2026-03-20,https://www.wiz.io/careers/job/4661068006/:title?gh_jid=4661068006,,
